FDI20,19.1,Low Fat,0.038720852,Fruits and Vegetables,210.8586,OUT018,2009,Medium,Tier 3,Supermarket Type2,6331.758
FDH33,12.85,Low Fat,0.12241394,Snack Foods,42.9428,OUT017,2007,,Tier 2,Supermarket Type1,703.0848
NCO29,11.15,Low Fat,0.032321608,Health and Hygiene,165.6526,OUT045,2002,,Tier 2,Supermarket Type1,1315.6208
FDK22,9.8,Low Fat,0.026139404,Snack Foods,216.785,OUT045,2002,,Tier 2,Supermarket Type1,1947.465
DRO47,10.195,Low Fat,0,Hard Drinks,114.086,OUT046,1997,Small,Tier 1,Supermarket Type1,1810.976
FDT19,,Regular,0.144338493,Fruits and Vegetables,172.108,OUT027,1985,Medium,Tier 3,Supermarket Type3,4327.7
FDY25,12,Low Fat,0.034166609,Canned,181.2976,OUT017,2007,,Tier 2,Supermarket Type1,5070.7328
FDS44,,Regular,0.27321283,Fruits and Vegetables,240.9538,OUT019,1985,Small,Tier 1,Grocery Store,480.7076
FDJ21,16.7,Regular,0.03858813,Snack Foods,144.6102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3353.6346
FDO40,17.1,LF,0.032628111,Frozen Foods,148.7392,OUT046,1997,Small,Tier 1,Supermarket Type1,1640.5312
FDL36,,Low Fat,0.133198355,Baking Goods,91.083,OUT019,1985,Small,Tier 1,Grocery Store,89.883
FDJ21,16.7,Regular,0.038528228,Snack Foods,143.9102,OUT046,1997,Small,Tier 1,Supermarket Type1,1749.7224
FDD05,19.35,Low Fat,0.016705436,Frozen Foods,120.8098,OUT017,2007,,Tier 2,Supermarket Type1,3374.2744
FDS10,19.2,Low Fat,0.058893461,Snack Foods,178.9318,OUT010,1998,,Tier 3,Grocery Store,180.4318
FDG14,,Regular,0.050256161,Canned,150.9024,OUT027,1985,Medium,Tier 3,Supermarket Type3,4857.6768
FDN57,18.25,Low Fat,0.054234197,Snack Foods,142.0154,OUT046,1997,Small,Tier 1,Supermarket Type1,2269.0464
FDS47,16.75,Low Fat,0.12961476,Breads,86.1856,OUT017,2007,,Tier 2,Supermarket Type1,1406.1696
FDO40,17.1,Low Fat,0.054612768,Frozen Foods,150.2392,OUT010,1998,,Tier 3,Grocery Store,596.5568
FDM50,13,Regular,0.030150193,Canned,61.422,OUT045,2002,,Tier 2,Supermarket Type1,539.298
FDF44,7.17,Regular,0.059849153,Fruits and Vegetables,129.4968,OUT045,2002,,Tier 2,Supermarket Type1,3392.9168
FDS21,19.85,reg,0.034942397,Snack Foods,61.9194,OUT010,1998,,Tier 3,Grocery Store,123.8388
NCJ06,,Low Fat,0.060672263,Household,119.8782,OUT019,1985,Small,Tier 1,Grocery Store,238.3564
FDX49,4.615,Regular,0.102038294,Canned,231.93,OUT045,2002,,Tier 2,Supermarket Type1,2563.33
FDU33,7.63,Regular,0.135258515,Snack Foods,47.2402,OUT018,2009,Medium,Tier 3,Supermarket Type2,918.804
NCN06,8.39,Low Fat,0.120396991,Household,163.4868,OUT013,1987,High,Tier 3,Supermarket Type1,4586.0304
NCN53,5.175,Low Fat,0.030527166,Health and Hygiene,33.5874,OUT017,2007,,Tier 2,Supermarket Type1,635.1732
NCE30,16,Low Fat,0.099053537,Household,212.6902,OUT013,1987,High,Tier 3,Supermarket Type1,637.1706
FDN21,,Low Fat,0.134564284,Snack Foods,159.8236,OUT019,1985,Small,Tier 1,Grocery Store,322.2472
FDB52,,Low Fat,0.030288215,Dairy,256.7672,OUT027,1985,Medium,Tier 3,Supermarket Type3,4346.3424
FDA26,,Regular,0.073562475,Dairy,217.6482,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
FDD23,9.5,Regular,0.048883854,Starchy Foods,185.7898,OUT018,2009,Medium,Tier 3,Supermarket Type2,2619.2572
FDH57,10.895,Low Fat,0.035893143,Fruits and Vegetables,131.3284,OUT018,2009,Medium,Tier 3,Supermarket Type2,1318.284
FDO15,,Regular,0.014998914,Meat,72.4038,OUT019,1985,Small,Tier 1,Grocery Store,221.7114
FDY49,17.2,Regular,0.012012071,Canned,163.1184,OUT046,1997,Small,Tier 1,Supermarket Type1,4623.3152
FDP20,19.85,Low Fat,0.045855273,Fruits and Vegetables,127.102,OUT018,2009,Medium,Tier 3,Supermarket Type2,1771.028
DRG11,6.385,Low Fat,0.14032811,Hard Drinks,109.1596,OUT010,1998,,Tier 3,Grocery Store,107.8596
DRJ59,11.65,Low Fat,0.019402371,Hard Drinks,38.7164,OUT049,1999,Medium,Tier 1,Supermarket Type1,579.246
FDP34,12.85,Low Fat,0,Snack Foods,155.463,OUT035,2004,Small,Tier 2,Supermarket Type1,4068.038
FDY04,17.7,Regular,0.042716709,Frozen Foods,163.221,OUT017,2007,,Tier 2,Supermarket Type1,1794.331
FDV11,9.1,Regular,0.081794766,Breads,173.6054,OUT049,1999,Medium,Tier 1,Supermarket Type1,700.4216
FDG20,15.5,Regular,0.125942816,Fruits and Vegetables,176.0028,OUT045,2002,,Tier 2,Supermarket Type1,1239.7196
NCH55,16.35,Low Fat,0,Household,127.902,OUT017,2007,,Tier 2,Supermarket Type1,2150.534
FDV34,10.695,Regular,0.011472001,Snack Foods,75.2038,OUT018,2009,Medium,Tier 3,Supermarket Type2,517.3266
FDT44,16.6,Low Fat,0.103146658,Fruits and Vegetables,117.2466,OUT049,1999,Medium,Tier 1,Supermarket Type1,2239.0854
FDG35,,Regular,0.012327847,Starchy Foods,173.8738,OUT019,1985,Small,Tier 1,Grocery Store,347.5476
FDG08,13.15,Regular,0.166032929,Fruits and Vegetables,170.8764,OUT018,2009,Medium,Tier 3,Supermarket Type2,2233.0932
FDX52,11.5,Regular,0.04224015,Frozen Foods,194.982,OUT017,2007,,Tier 2,Supermarket Type1,3089.312
NCH54,,Low Fat,0.072317217,Household,160.792,OUT027,1985,Medium,Tier 3,Supermarket Type3,3675.216
FDU24,,Regular,0.139484292,Baking Goods,94.312,OUT027,1985,Medium,Tier 3,Supermarket Type3,2516.724
FDW03,5.63,Regular,0.024536636,Meat,106.1306,OUT035,2004,Small,Tier 2,Supermarket Type1,2090.612
FDV01,19.2,Regular,0.085296625,Canned,153.4314,OUT018,2009,Medium,Tier 3,Supermarket Type2,1861.5768
